CI	7.00E-10	6.00E-09	1.00E-05	3.30E-02	3.00E+00
CII	4.00E-12	2.00E-11	1.00E-07	2.30E-03	1.00E-02
NaI	6.00E-01	3.00E+00	1.20E+01	3.60E+02	4.20E+02
MgI	4.00E-04	2.00E-03	1.00E+00	7.40E+01	2.00E+02
MgII	2.00E-04	2.00E-03	2.00E-01	9.00E+00	4.00E+01
AlI	2.00E-03	2.00E-02	3.00E-01	5.30E+01	9.90E+01
AlII	2.00E-09	3.00E-08	6.00E-05	3.60E-01	2.00E+01
SiI	6.00E-06	4.00E-05	4.00E-03	6.00E+00	1.70E+01
SiII	7.00E-06	4.00E-05	1.00E-02	9.00E+00	2.50E+01
SI	8.00E-09	3.00E-08	2.00E-05	5.60E-01	1.20E+01
SII	6.00E-10	2.00E-09	3.00E-08	9.00E-05	1.00E-02
KI	2.10E+00	1.10E+01	2.00E+01	2.00E+02	2.00E+02
CaI	4.00E-02	2.00E-01	3.00E+00	3.30E+02	5.80E+02
CaII	1.00E-02	6.00E-02	8.00E-01	5.00E+01	1.80E+02
FeI	5.00E-04	4.00E-03	6.00E-02	2.70E+01	6.00E+01
FeII	2.00E-05	2.00E-04	7.00E-03	5.00E+00	2.10E+01
NiI	7.00E-04	7.00E-03	1.00E-01	2.60E+01	4.80E+01
NiII	2.00E-08	6.00E-08	2.00E-06	7.00E-02	5.00E-01
